ลำดับ,"วัน/เดือน/ปี 
ที่ติดต่อเข้ามา",ชื่อผู้สนใจ/ชื่อ Facebook,Line,Facebook,ปกติ,สมทบ,ทางไกล,ปริญญา,คณะ,สาขา,วุฒิที่ใช้สมัคร,ผ่อนตรง,กู้ กยศ,"เบอร์โทร
ให้ติดต่อกลับ","วัน/เดือน/ปี
ที่ให้โทร",ช่วงเวลาให้ติดต่อกลับ,หมายเหตุ,ชื่อแอดมินที่ดูแล,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,ติดตาม,,,,
10,ธ.ค.-24,Monbo Taul-Sagun,,ü,ü,,,ตรี,สาธารณสุขศาสตร์,สาธารณสุขศาสตร์,ม.6,,ü,0843124869,สมัครแล้ว,,สนใจกู้ กยศ.,,23/1/2058 โทรใหม่หลังเลิกงาน,,,,,,,,,
11,ธ.ค.-24,Zenan,ü,,,ü,,ตรี,วิทยาศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,ปวส,ü,,0916126441,สมัครแล้ว,,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,,27/1/2025 ขอดูค่าใช้จ่ายก่อน,,,,,,,,,
12,1/4/2025,ปั้นเพ็ญ,ü,,,,ü,โท,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปริญญาตรี,ü,,0609232172,05/04/2025,18.00,อยากเรียนเฉพาะเสาร์อาทิตย์,,โทร ยังไม่ตัดสินใจ,ต้้นโทร 18/3/2025 12.45 น. สนใจเรียนภาคทางไกล,ต้้นโทร 25/3/2025 13.34 น. สนใจสมัคร ขอเวลาตัดสินใจ,ปุ้ยโทร 02/04/2025 ปิดเครื่อง,,,,,,
13,1/5/2025,ยิ่งขวัญ ฟ้าปรีดา,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,ü,,0906323324,ไม่สมัคร,,แอดไลน์กลับมาเรียบร้อยแล้ว,,08/01/2025 ขอปรึกษาครอบครัวก่อน,พี่ต่ายโทร 16/03/2025 ยังไม่ตัดสินใจ,,,,,,,,
14,1/7/2025,ทิพนิ่ม,ü,,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,,ü,0904077113,ไม่สมัคร,,สะดวกคุยทางไลน์มากกว่า,,ไม่ได้รับสาย,16/03/2025 ไม่รับสาย,,,,,,,,
15,1/9/2025,Narat Ixzen,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,,,,มีประกันสังคม ถามเรื่องสิทธิ์,ปุ้ย,,,,,,,,,,
16,1/9/2025,ชื่นวิไล ดีพิม,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
17,1/9/2025,กัญจันทร์ นุชทิพ,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
18,1/9/2025,Sonsir Zenhel,,ü,,,ü,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
19,1/9/2025,Wyzen Wyzen Chaitor,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,,,,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,ปุ้ย,9/1/2025 ยังไม่ตัดสินใจ,,,,,,,,,
20,1/9/2025,Tipri Pimno,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,จบ ปวส. ถามเรื่องเทียบโอน,ต้นกล้า,9/1/2025 ยังไม่ตัดสินใจ,,,,,,,,,
21,1/9/2025,Luver Pongun,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส,,,,,,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,ต้นกล้า,9/1/2025 ยังไม่ตัดสินใจ,,,,,,,,,
22,1/9/2025,Wantor Anbo,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,ü,,0628646825,5/1/2025,,,ต้นกล้า,โทรใหม่หลังเลิกงาน,ขอปรึกษาครอบครัวก่อน,พี่ต่ายโทร 16/03/2025 ไม่ได้รับสาย,ต้นโทร 18/3/2025 12.55 น. สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,
23,1/9/2025,Tipmon Tipmon,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส,ü,,,,,รอปรึกษาที่บ้านก่อน,ปุ้ย,9/1/2025 ยังไม่ตัดสินใจ,,,,,,,,,
24,1/9/2025,พิมมณี ฤดีปรีดา,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
25,1/9/2025,เพ็ญกัญ ชัยธัญ,,ü,,,ü,,,,ม.6,,ü,,,,,ต้นกล้า,,,,,,,,,,
26,1/9/2025,Ulmel Gunchai,,,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
27,1/9/2025,เดือนมณี อุ่นณัฐ ภู่ทิพ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,ü,,0812580910,,,สะดวกคุยทางไลน์มากกว่า,ต้นกล้า,นัดโทรอีกครั้งสัปดาห์หน้า,18/1/2025 ไม่ได้รับสาย,พี่ต่ายโทร 16/03/2025 สนใจสมัคร ขอเวลาตัดสินใจ,พี่ต่ายโทร 18/03/2025 12.30 น. สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,
28,1/9/2025,เดือนชื่น ภู่จันทร์,,,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
29,1/9/2025,Tadar Sapon,,,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
30,1/9/2025,Deeson Ansa,,,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
31,1/9/2025,ขวัญภูมิ กุลสุข,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส,,,0880674357,สมัครแล้ว,,ขอเวลาตัดสินใจ,ปุ้ย,31/1/2025 ขอปรึกษาครอบครัวก่อน,31/1/2025 ขอคิดดูก่อน,,,,,,,,
32,1/9/2025,Melfa Ulpe,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
33,1/9/2025,Ponmel Tipvin,,ü,,,ü,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
34,1/9/2025,Ratpon'Rapim Anvin-napon,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,ü,0671861512,17/04/2025,19.00,,ต้นกล้า,09/01/2025 ไม่ได้รับสาย,27/1/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้ยโทร 25/03/2025 สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,,
35,1/9/2025,Sonix Pean,,ü,,,ü,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
36,1/9/2025,รักขวัญ ยิ่งบุญ สุขกุล,,ü,,,ü,โท,,,,,,,,,,ต้นกล้า,,,,,,,,,,
37,1/9/2025,เดือนมณี อุ่นณัฐ ภู่ทิพ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,ü,,0812580910,,18.30,ทำงานกะดึก โทรหลัง 18.00 น.,ต้นกล้า,นัดโทรอีกครั้งสัปดาห์หน้า,18/1/2025 ไม่ได้รับสาย,ต้นโทร 26/3/2025 13.40 น. สนใจสมัคร ขอเวลาตัดสินใจ,ปุ้ยโทร 01/04/2025 ปิดเครื่อง,ปุ้ยโทร 02/04/2025 ปิดเครื่อง,,,,,
38,1/9/2025,Wychai Kitbo,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
39,1/9/2025,Chaita Helhel,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
40,1/9/2025,Anqua Quari,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวส.,ü,,0812216872,20/02/2026,13.00,,ปุ้ย,โทร ยังไม่ตัดสินใจ,พี่ต่ายโทร 16/03/2025 สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,,,
41,1/9/2025,Toran Rafa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,,,,,,สนใจกู้ กยศ.,ต้นกล้า,,,,,,,,,,
42,1/9/2025,Sata Monpon,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
43,1/9/2025,Helpe Quamel Sonno,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,,ü,0926446296,ไม่ต้องโทร,11.00,แอดไลน์กลับมาเรียบร้อยแล้ว,ปุ้ย,31/01/2025 ยังไม่ตัดสินใจ,31/1/2025 ไม่ได้รับสาย,พี่ต่ายโทร 16/03/2025 ปิดเครื่อง,พี่ต่ายโทร 18/03/2025 12.50 น. ไม่ได้รับสาย,ปุ้ยโทร 25/03/2025 ปิดเครื่อง,ต้นโทร 26/3/2025 13.59 น. ไม่ได้รับสาย,ปุ้ยโทร 30/03/2025 ปิดเครื่อง,,,
44,1/9/2025,NOIX-Salu RISA,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
45,1/9/2025,Luri Deenu,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,  ,0911224139,ไม่ต้องโทร,13.00,ถามเรื่องค่าเทอมและการผ่อน,ปุ้ย,15/01/2025 ขอคิดดูก่อน,18/1/2025 ไม่ได้รับสาย,27/1/2025 ไม่รับสาย,พี่ต่ายโทร 18/03/2025 12.52 น. ไม่รับสาย,ต้นโทร 26/3/2025 14.01 น. ปิดเครื่อง,ปุ้ยโทร 30/03/2025 ไม่ได้รับสาย,,,,
46,1/9/2025,ปั้นชัย ทิพอุ่น,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
47,1/9/2025,Wanul Verchai,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0649860734,ไม่สมัครเรียน,14.00,ทำงานกะดึก โทรหลัง 18.00 น.,ปุ้ย,15/01/2025 ขอดูค่าใช้จ่ายก่อน,18/1/2025 ขอคิดดูก่อน,ต้นโทร 26/3/2025 14.05 น. ปิดเครื่อง,ต้นโทร 27/3/2025 ปิดเครื่อง,ปุ้้้ยโทร 28/03/2025 ไม่ได้รับสาย,,,,,
48,1/9/2025,Verrat Sirdar,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,,,,,ปุ้ย,,,,,,,,,,
49,1/9/2025,Melle Ponno,,ü,ü,,,ตรี,บัญชี,บัญชี,,ü,,,,,,ปุ้ย,,,,,,,,,,
50,1/9/2025,ยิ่งแก้ว กุลอุ่น,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
51,1/9/2025,Ixsir Gunan,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,0805643966,ไม่ต้องโทร,,,ปุ้ย,12/1/2025 ยังไม่ตัดสินใจ,พี่ต่ายโทร 16/03/2025 ไม่รับสาย,ต้นโทร 18/3/2025 13.09 น. ไม่ได้รับสาย,ต้้นโทร 26/3/2025 14.05 น. ไม่ได้รับสาย,ต้นโทร 27/3/2025 ปิดเครื่อง,ปุ้้้ยโทร 28/03/2025 ไม่ได้รับสาย,ปุ้ยโทร 30/03/2025 ไม่ได้รับสาย,,,
52,1/9/2025,Jogun Darom,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส,ü,,0899461091,สมัครแล้ว,,จบ ปวส. ถามเรื่องเทียบโอน,ต้นกล้า,,,,,,,,,,
53,1/9/2025,LULU'Zengun Quakit,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
54,1/9/2025,Uljo Wyzen,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,ü,ü,,,,ส่งวุฒิมาให้ดูเทียบโอนหน่วยกิต,ต้นกล้า,,,,,,,,,,
55,1/9/2025,กิ่งอัญ ขวัญเพ็ญ,,ü,,,ü,ตรี,,,,,,,,,,ต้นกล้า,,,,,,,,,,
56,1/10/2025,พร้อมชัย จิตมณี,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,0828064484,ไม่สมัคร,,สนใจกู้ กยศ.,ต้นกล้า,16/1/2025 ขอดูค่าใช้จ่ายก่อน,18/1/2025 ไม่ได้รับสาย,ปุ้ยโทร 16/03/2025 สนใจสมัคร รอเงินเดือนออก,,,,,,,
57,1/10/2025,Quahel Wanqua,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
58,1/10/2025,มณีทิพ น้ำน้ำ ศิริรัก.,,ü,,,ü,ตรี,,,,,,,,,,ต้นกล้า,,,,,,,,,,
60,1/10/2025,Lerat Naix,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
61,1/10/2025,Gunver Kitix,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
62,1/10/2025,ธิดาเพ็ญ อัญปิ่น,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
63,1/10/2025,กิ่งกิ่ง นุชสุข,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,ü,,,,,ต้นกล้า,,,,,,,,,,
64,1/10/2025,ภัทรนุช จิตแก้ว.,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
,1/10/2025,Ratle Rarat SAVIN,,ü,,,ü,ตรี,,,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
66,1/10/2025,Ripe Jorat,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
67,1/10/2025,Vindar Ulhel,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
68,1/10/2025,รักเพ็ญ ธัญต้น,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
69,1/10/2025,Anver Tipya,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
70,1/10/2025,Satip Kasa,,ü,,,ü,โท,บริหารธุรกิจ,,,,,,,,,ต้นกล้า,,,,,,,,,,
71,1/10/2025,Raver Melno,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
72,1/10/2025,ยิิ่งแก้ว กุลอุ่น,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
73,1/10/2025,Tapim Ponwan,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,ü,,,,,,ปุ้ย,,,,,,,,,,
74,1/10/2025,Kitfa Melzen,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
75,1/10/2025,Kapon Monsa,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,กศน.เทียบเท่า ม.6,ü,ü,,,,ขอเอกสารหลักสูตรทางไลน์,ปุ้ย,,,,,,,,,,
76,1/10/2025,วิไลวิไล ชื่นวัน,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
77,1/10/2025,Saix Ratqua,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
78,1/10/2025,Gunjo Chaifa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ปวช.,,,,,,,ปุ้ย,,,,,,,,,,
79,1/10/2025,Sirwan'sahel Jona,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,,,,,,,ปุ้ย,,,,,,,,,,
80,1/11/2025,Quara Darjo,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,ม.6,,,0633981577,ไม่สมัครเรียน,11.00,,ต้นกล้า,โทร 31/01/2025 ยังไม่ตัดสินใจ,ปุ้ยโทร 17/03/2025 สนใจสมัคร ขอเวลาตัดสินใจ,,,,,,,,
81,1/11/2025,Ixpon Luta,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
82,1/11/2025,วิไลแก้ว แก้วแก้ว,,ü,,,ü,ตรี,,,ปวส.,,,,,,,ต้นกล้า,,,,,,,,,,
83,1/11/2025,นิ่มเพ็ญ ณัฐธัญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
84,1/11/2025,Deele Omwy DEENO,,ü,,,ü,โท,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปริญญาตรี,ü,,,,,ถามว่าต้องมาสอบที่มหาวิทยาลัยไหม,ต้นกล้า,,,,,,,,,,
85,1/11/2025,Anpon Montor,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
86,1/11/2025,Ixgun Gunka,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
87,1/11/2025,นิ่มณัฐ ขวัญใบ้,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
88,1/11/2025,Wanna Anka,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
89,1/11/2025,Melrat Ratgun,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวช.,,,,,,,ต้นกล้า,,,,,,,,,,
90,1/11/2025,Pimver Zentip,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
91,1/11/2025,บุญปั้น ธิดากุล,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
92,1/11/2025,Wankit quasir,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
93,1/11/2025,Melta Tipver,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
94,1/11/2025,Chaidar Quaix,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
95,1/11/2025,ภัทรดี ศิริปั้น,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ม.6,ü,,,,,,ปุ้ย,,,,,,,,,,
96,1/11/2025,Hellu Zenfa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,ü,,,,,,ปุ้ย,,,,,,,,,,
97,1/11/2025,Wanpon Rifa Verno,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
98,1/11/2025,ภัทรอุ่น อัญเพ็ญ,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ปวส.,ü,,0806497249,สมัครแล้ว,,อยากเรียนเฉพาะเสาร์อาทิตย์,ปุ้ย,12/1/2025 ขอปรึกษาครอบครัวก่อน,,,,,,,,,
99,1/11/2025,เดือนมณี พิมชัย มั่นชัย,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
100,1/11/2025,ทิพพร้อม ขวัญจันทร์,,ü,,,,,,,,,,,,,,ปุ้ย,,,,,,,,,,
101,1/11/2025,ธัญวัน เดือนภัทร,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวส.,ü,,,,,,ปุ้ย,,,,,,,,,,
102,1/11/2025,Ompon Ompon,,ü,,,ü,โท,รัฐศาสตร์,รัฐประศาสนศาสตร์,,,,,,,,ปุ้ย,,,,,,,,,,
18,1/10/2025,Nano Heljo,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการโลจิสติกส์,กศน.เทียบเท่า ม.6,,ü,0624621551,ไม่สมัคร,11.00,,ต้นกล้า,โทร 31/01/2025 ขอดูค่าใช้จ่ายก่อน,ปุ้ยโทร 15/03/2025 ไม่รับสาย,,,,,,,,
103,1/11/2025,Wyson Gunul,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,ü,,0622297562,,,ขอเอกสารหลักสูตรทางไลน์,ปุ้ย,13/1/2025 ยังไม่ตัดสินใจ,27/1/2025 ไม่รับสาย,ปุ้ยโทร 15/03/2025 ปิดเครื่อง,พี่ต่ายโทร 18/03/2025 12.45 น. สนใจสมัคร รอเงินเดือนออก,,,,,,
104,1/12/2025,พร้อมขวัญ วันใบ้,,ü,,,ü,ตรี,,,,,,,,,,ต้นกล้า,,,,,,,,,,
105,1/12/2025,Nupon Gunfa,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
106,1/12/2025,อุ่นอุ่น สินทิพ พร้อมปิ่น,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
107,1/12/2025,อัญชื่น ใบ้ฤดี,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
108,1/12/2025,ยิ่งจันทร์ ณัฐจันทร์,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,,,,,,,ต้นกล้า,,,,,,,,,,
109,1/12/2025,พร้อมทิพ จิตชัย,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,กศน.เทียบเท่า ม.6,ü,,0990823274,ไม่่สมัคร,16.00,ทำงานกะดึก โทรหลัง 18.00 น.,ต้นกล้า,โทร ขอดูค่าใช้จ่ายก่อน,ปุ้ยโทร 15/03/2025 ขอคิดดูก่อน,ต้นโทร 16/3/2025 16.47 น. สนใจสมัคร ขอเวลาตัดสินใจ,ต้นโทร 17/3/2025 16.04 น. ปิดเครื่อง,ต้้นโทร 26/3/2025 14.08 น. สนใจสมัคร ขอเวลาตัดสินใจ,ปุ้ยโทร 01/04/2025 ขอคิดดูก่อน,ปุ้้ยโทร 02/04/2025 สมัครแล้ว,,,
110,1/12/2025,สินสิน ฤดีธัญ,,ü,,,ü,ตรี,,การจัดการ,ม.6,ü,,,,,,ต้นกล้า,,,,,,,,,,
111,1/12/2025,Nosir Nosir,,ü,ü,,,ตรี,นิติศาสตร์,นิติศาสตร์,,,,,,,,ต้นกล้า,,,,,,,,,,
112,1/12/2025,Petor Vinfa,,ü,,,ü,ตรี,บริหารธุรกิจ,การจัดการ,ม.6,ü,,0918652272,ไม่่สมัคร,,นัดชำระ 500 บาท,ต้นกล้า,ขอให้ติดต่อใหม่ช่วงเย็น,27/1/2025 ยังไม่ตัดสินใจ,,,,,,,,
113,1/12/2025,Darna Vinqua,,ü,,,ü,ตรี,รัฐศาสตร์,รัฐประศาสนศาสตร์,ปวช.,ü,,,,,,ต้นกล้า,,,,,,,,,,
114,1/12/2025,Nadee Pimya,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
115,1/12/2025,Taver Melver,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
116,1/12/2025,ปรีดาวิไล ดีรุ่ง,,ü,,,,,,,,,,,,,,ต้นกล้า,,,,,,,,,,
